Size,Time(Ms),Iterations
9800,5.3756,329979
9800,4.6975,339778
9800,5.1034,349577
9800,5.5659,320180
9900,5.0372,333357
9900,7.5318,323458
9900,4.8598,333357
9900,5.1421,333357
9900,6.7867,323458
10000,7.5751,326734
10000,8.5752,336733
10000,8.1279,336733
10000,7.3055,346732
10000,7.7077,336733
